"No.","Time","Source","Destination","Protocol","Length","Info"
"72","165.936760","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"73","169.881501","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"74","169.881501","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"75","198.925059","c2:02:59:88:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.3 (Reply)"
"76","198.933817","c2:01:78:a0:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.1 (Reply)"
"77","199.018867","c2:01:78:a0:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.1 (Reply)"
"78","199.020820","c2:02:59:88:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.3 (Reply)"
"79","199.029566","c2:01:78:a0:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.1 (Reply)"
"80","199.031088","c2:02:59:88:00:00","Broadcast","ARP","60","Gratuitous ARP for 10.0.0.3 (Reply)"
"81","199.050324","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"82","199.052276","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"83","199.061062","c2:01:78:a0:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"84","199.063014","c2:02:59:88:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"85","200.983336","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"86","200.998951","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"87","203.141288","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"88","203.141288","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"89","214.727905","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"90","214.835308","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"91","222.590256","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"92","222.594122","10.0.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"93","222.599978","PcsCompu_3c:b5:2b","Broadcast","ARP","60","ARP Announcement for 10.0.0.2"
"94","222.686840","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"95","222.865449","10.0.0.2","224.0.0.251","MDNS","261","Standard query 0x0000 ANY 2.c.e.3.6.6.3.1.4.8.1.f.e.2.5.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY luiseduardo-VirtualBox.local, ""QM"" question ANY 2.0.0.10.in-addr.arpa, ""QM"" question A 10.0.0.2 PTR luiseduardo-VirtualBox.local AAAA fe80::d52e:f184:1366:3ec2 PTR luiseduardo-VirtualBox.local"
